Frequenz in kHz;U_sensor spitze spitze in mV
4;48
4,5;57
4,75;69
4,79;94
4,8;137
4,81;64
4,85;74
4,9;74
4,95;117
5;80
5,5;40
5,70;55
5,75;127
5,76;81
5,77;55
5,8;37
6;35
6,5;59
6,8;43
6,9;77
7;31
7,2;112
7,19;62
7,18;39
7,21;71
7,22;38
7,3;35
7,4;35
8;35
8,5;35
8,66;85
8,65;45
8,64;39
8,67;49
8,7;35
9;36
9,5;37
9,61;127
9,59;89
9,58;58
9,62;66
9,63;33
9,75;66
9,8;32
10;27
11;38
11,5;50
11,6;22
12;31
12,5;36
13;37
14;28
14,1;26
14,3;33
14,4;80
14,41;113
14,42;73
14,43;35
14,5;35
14,6;70
14,65;25
15;27
15,5;30
16;28
16,5;31
17;27
17,2;35
17,3;60
17,35;35
18,7;35
19,5;31
20;27
21;23
22;24
23;31
25;27
27;23
28,6;26
28,7;51
28,8;81
28,85;53
28,9;26
30;23
33;35
34,5;31
34,6;45
34,65;61
34,67;41
35;21
36;25
38;25
40;27
41;26
43;27
45;28
47;27
50;23
53;24
55;25
58;26
60;27